company,fashion_index_score,ticker,yahoo_name,market_cap,revenue,ebitda,debt,currency,yahoo_resolution_note
Reliance Trends,10,,,,,,,,no public Yahoo ticker found
Costco,10,COST,Costco Wholesale Corporation,448843274718,286265000000,14063000000,8165000000,USD,mapped ticker
Tommy Bahama,10,,,,,,,,no public Yahoo ticker found
Saks Fifth Avenue,9,,,,,,,,no public Yahoo ticker found
Foot Locker,9,,,,,,,,no public Yahoo ticker found
Famous Footwear,9,,,,,,,,no public Yahoo ticker found
Tod's,9,,,,,,,,no public Yahoo ticker found
Li-Ning,9,2331.HK,Li Ning Company Limited,51569482653,29598417000,5694153000,2055154000,HKD,mapped ticker
Hudson's Bay,9,,,,,,,,no public Yahoo ticker found
LL Bean,8,,,,,,,,no public Yahoo ticker found
Gerry Weber,8,,,,,,,,no public Yahoo ticker found
Merrell,8,,,,,,,,no public Yahoo ticker found
ALDI,8,,,,,,,,no public Yahoo ticker found
Carhartt,7,,,,,,,,no public Yahoo ticker found
Truworths,7,,,,,,,,no public Yahoo ticker found
Triumph,7,,,,,,,,no public Yahoo ticker found
Takko,7,,,,,,,,no public Yahoo ticker found
Sports Direct,7,,,,,,,,no public Yahoo ticker found
DSW,7,,,,,,,,no public Yahoo ticker found
Beanpole,7,,,,,,,,no public Yahoo ticker found
Bloomingdale's,7,,,,,,,,no public Yahoo ticker found
Macy's,7,M,"Macy's, Inc.",5193463915,22621000000,1840000000,5204000000,USD,mapped ticker
SHEIN,7,,,,,,,,no public Yahoo ticker found
Skechers,7,,,,,,,,no public Yahoo ticker found
Kmart,6,WES.AX,Wesfarmers Limited,83375163544,46286000000,6201000000,11168000000,AUD,mapped ticker
Billabong,6,,,,,,,,no public Yahoo ticker found
Quiksilver,6,,,,,,,,no public Yahoo ticker found
Roxy,6,,,,,,,,no public Yahoo ticker found
Ross Dress for Less,6,ROST,"Ross Stores, Inc.",73720382188,22750559000,3389490000,5212338000,USD,mapped ticker
Express,6,,,,,,,,no public Yahoo ticker found
Furla,5,,,,,,,,no public Yahoo ticker found
Eddie Bauer,5,,,,,,,,no public Yahoo ticker found
CAROLL,5,,,,,,,,no public Yahoo ticker found
Buckle,4,,,,,,,,no public Yahoo ticker found
Shimammura,4,,,,,,,,no public Yahoo ticker found
LC Waikiki,4,,,,,,,,no public Yahoo ticker found
