ticker,region,currency,brands,brand_count,score_avg,score_min,score_max,market_cap,revenue,ebitda,debt,mcap_revenue,ev_revenue,ev_ebitda
002563.SZ,China/HK,CNY,Semir,1,0,0,0,16326186369.0,15460194672.0,1409920916.0,481312997.0,1.0560142815386666,1.0871466836339458,11.92088093400552
1913.HK,China/HK,EUR,Prada,1,34,34,34,88791192800.0,5717521000.0,2120396000.0,4817885000.0,15.529666231221539,16.37231901728039,44.14697905485579
2020.HK,China/HK,HKD,ANTA,1,0,0,0,224826041485.0,80219000000.0,28614000000.0,31764000000.0,2.8026532552761814,3.1986192982335857,8.967290189592507
2331.HK,China/HK,HKD,Li-Ning,1,9,9,9,51569482653.0,29598417000.0,5694153000.0,2055154000.0,1.7423054298140337,1.8117400215356112,9.41749135525512
3382.T,Japan,JPY,Ito-Yokado,1,11,11,11,4434957554331.0,10430268000000.0,1003945000000.0,4370155000000.0,0.42520072871866765,0.8441885246218985,8.770512881015394
3998.HK,China/HK,CNY,Bosideng,1,0,0,0,49503525414.0,26025223000.0,5379038000.0,1935972000.0,1.9021364548538162,1.9765247511615942,9.562954828354066
7606.T,Japan,JPY,United Arrows,1,17,17,17,67890648240.0,156358000000.0,8547000000.0,3900000000.0,0.4342000296754883,0.45914278924007723,8.399514243594243
7936.T,Japan,JPY,ASICS,1,45,45,45,3076199211921.0,810916000000.0,169717000000.0,98529000000.0,3.7934868863371793,3.9149902233042635,18.70601184277945
8022.T,Japan,JPY,Mizuno,1,18,18,18,253004584820.0,247230000000.0,27450000000.0,13526000000.0,1.0233571363507665,1.0780673252437003,9.709675221129325
9983.T,Japan,JPY,GU; Uniqlo,2,51,51,51,22365548721490.0,3665568000000.0,953158000000.0,548248000000.0,6.1015233441283865,6.251090341657828,24.039872425652412
ADS.DE,Europe ex-UK,EUR,Adidas,1,56,56,56,26141233166.0,25250000000.0,3239000000.0,5952000000.0,1.035296363009901,1.2710191352871287,9.908377019450448
AEO,US-listed,USD,American Eagle,1,21,21,21,2823468808.0,5547236000.0,550005000.0,1700323000.0,0.5089866030578112,0.8155037586286216,8.225001241806893
AMZN,US-listed,USD,Amazon,1,26,26,26,2884935587599.0,742776000000.0,188438000000.0,209888000000.0,3.883991388519554,4.166563792582151,16.423564183439645
ANF,US-listed,USD,Abercrombie & Fitch; Hollister Co.,2,33,33,33,3782194903.0,5266292000.0,878168000.0,1168095000.0,0.7181893641674256,0.9399953331490164,5.63706477917665
ASC.L,UK,GBP,ASOS,1,50,50,50,273995603.0,2294400000.0,64600000.0,729000000.0,0.11941928303695955,0.4371494085599721,15.526247724458205
ATZ.TO,Canada,CAD,Aritzia,1,22,22,22,16951938757.0,3410751000.0,729281000.0,1039107000.0,4.970148438569687,5.274804803106413,24.669565993080855
BC.MI,Europe ex-UK,EUR,Brunello Cucinelli,1,14,14,14,5627680000.0,1407951000.0,419554000.0,1187356000.0,3.997070920791988,4.840392882990956,16.243525267307664
BOSS.DE,Europe ex-UK,EUR,Hugo Boss,1,55,55,55,2489413143.0,4269838000.0,788848000.0,1182029000.0,0.5830228554338596,0.859855138063786,4.654181975488307
BRBY.L,UK,GBP,Burberry,1,38,38,38,4208840212.0,2407000000.0,454000000.0,1546000000.0,1.7485833867885334,2.390876697964271,12.675859497797356
BURL,US-listed,USD,Burlington,1,14,14,14,19980026178.0,11566910000.0,1305030000.0,6005137000.0,1.7273434459159793,2.246508633507134,19.911544698589303
CA.PA,Europe ex-UK,EUR,Carrefour,1,24,24,24,11994044655.0,84024000000.0,4672000000.0,5259000000.0,0.14274546147529277,0.20533472168666095,3.6928605854023973
CDI.PA,Europe ex-UK,EUR,Dior,1,29,29,29,76710578616.0,80807000000.0,25896000000.0,36746000000.0,0.9493061073421857,1.4040439394606903,4.381239520234785
CFR.SW,Europe ex-UK,EUR,Chloe,1,43,43,43,87309134237.0,21941000000.0,6609000000.0,14813000000.0,3.979268685884873,4.654397440271637,15.451979760478135
COLM,US-listed,USD,Columbia Sportswear,1,37,37,37,3189651197.0,3397912000.0,288585000.0,477689000.0,0.9387091828746595,1.0792922821426805,12.708006989275257
COST,US-listed,USD,Costco,1,10,10,10,448843274718.0,286265000000.0,14063000000.0,8165000000.0,1.5679292778299827,1.596451800667214,32.497210745786816
